# Bookmark Setups
# Rise of the Horde
#	546 King's Calender
# First War
#	592 KC
# Second War
#	598 KC
# Third War
#	617 KC
# Rise of the Qiraji
#	622 KC
# The Burning Crusade
#	625 CK
# Wrath of the Lich King
#	626 KC
# Cataclysm
# 	631 KC
# Mists of Pandaria
#	632 KC
# Warlords of Draenor
#	633 KC

# Special countries..
A41 = "countries/Blackrock.txt"
A42 = "countries/Stormreaver.txt"
A43 = "countries/Twilights Hammer.txt"
A44 = "countries/Burning Blade.txt"
A45 = "countries/Dragonmaw.txt"
A46 = "countries/Frostwolf.txt"
A47 = "countries/MokNathal.txt"
A48 = "countries/Orgrimmar.txt"
E98 = "countries/Black Tooth Grin.txt"
F26 = "countries/Ironmarch.txt"
F48 = "countries/Fel Dragonmaw.txt"
H07 = "countries/Horde Expedition.txt" 

# Ogre
A49 = "countries/Bladespire.txt"
A50 = "countries/Angorosh.txt"
A51 = "countries/Boulderfist.txt"
A52 = "countries/Gordunni.txt"
A53 = "countries/Ogrila.txt"
E50 = "countries/Crushridge.txt"
E96 = "countries/Dreadmaul.txt"
E97 = "countries/Splinterfist.txt"
E99 = "countries/Firegut.txt"
F01 = "countries/Stonespire.txt"
F05 = "countries/Mo'grosh.txt"
F06 = "countries/Dustbelcher.txt"
F07 = "countries/Deadwind.txt"
F08 = "countries/Bloodeye.txt"
F31 = "countries/Mosh'Ogg.txt"
F50 = "countries/Outland Boulderfist.txt"
H05 = "countries/Dunemaul.txt" 
F57 = "countries/Stonemaul.txt"

# Draenei
A54 = "countries/Shattrath.txt"
A55 = "countries/Karabor.txt"
A56 = "countries/Exodar.txt"
A57 = "countries/Ashtoungue Deathsworn.txt"
F34 = "countries/Harborage.txt"
F35 = "countries/Fallow Sanctuary.txt"
F49 = "countries/Auchenai.txt"

# Forest Troll
A58 = "countries/Amani.txt"
A59 = "countries/Shadowpine.txt"
A60 = "countries/Vilebranch.txt"
A61 = "countries/Revantusk.txt"
A62 = "countries/Mossflayer.txt"
A63 = "countries/Firetree.txt"
A64 = "countries/Witherbark.txt"
A65 = "countries/Smolderthorn.txt"
E55 = "countries/Shadowglen.txt"

# Jungle Troll
A66 = "countries/Gurubashi.txt"
A67 = "countries/Bloodscalp.txt"
A68 = "countries/Shatterspear.txt"
A69 = "countries/Skullsplitter.txt"
A70 = "countries/Darkspear.txt"
A71 = "countries/Atalai.txt"
A72 = "countries/Hakkari.txt"
E58 = "countries/Zanzil.txt"
F09 = "countries/Jellyneck.txt"

# Sand Troll
A73 = "countries/Sandfury.txt"	# tech_troll

# Frost Troll
A74 = "countries/Drakkari.txt"
A75 = "countries/Frostmane.txt"
A76 = "countries/Winterax.txt"
A77 = "countries/Winterfang.txt"

# Zandalari Troll
A78 = "countries/Zandalar.txt"

# Dark Troll
F47 = "countries/Shadowtooth.txt"

# Goblin
A79 = "countries/Bilgewater.txt"
A80 = "countries/Steamwheedle.txt"
A81 = "countries/Venture Company.txt"
A82 = "countries/Gilblin.txt"
A83 = "countries/Blackwater.txt"

# Tauren
A84 = "countries/Bloodhoof.txt" # tech_tauren
A85 = "countries/Grimtotem.txt" # tech_tauren
A86 = "countries/Runetotem.txt" # tech_tauren
A87 = "countries/Mistrunner.txt" # tech_tauren
A88 = "countries/Dawnstrider.txt" 
A89 = "countries/Winterhoof.txt" # tech_tauren

# High Elf
A90 = "countries/QuelThalas.txt"
E49 = "countries/Highvale.txt"
F20 = "countries/Quellithian.txt"
F54 = "countries/QuelThalas Remnants.txt"
F56 = "countries/Southvale.txt"

# Blood Elf
A91 = "countries/Silvermoon.txt"
A92 = "countries/Sunreaver.txt" # tech_thalassian
A93 = "countries/Sunfury.txt"

# Night Elf
A94 = "countries/Darnassus.txt"
A95 = "countries/Cenarion Circle.txt" # tech_darnassian
H01 = "countries/Nordrassil.txt"
H02 = "countries/Moonglade.txt"
H03 = "countries/Cenarion Hold.txt"


# Aqir
A96 = "countries/AhnKahet.txt" # tech_aqir
A97 = "countries/AhnQiraj.txt" # tech_aqir
A98 = "countries/Silithid.txt" # tech_aqir
E74 = "countries/AzjolNerub.txt"

# Dragonkin
A99 = "countries/Black Dragonflight.txt"
B01 = "countries/Blue Dragonflight.txt"
B02 = "countries/Bronze Dragonflight.txt"
B03 = "countries/Red Dragonflight.txt"
B04 = "countries/Green Dragonflight.txt"
B05 = "countries/Netherwing Dragonflight.txt"
B06 = "countries/Twilight Dragonflight.txt"
B07 = "countries/Infinite Dragonflight.txt" # tech_dragonkin

# Vrykul
B08 = "countries/Dragonflayer.txt"
B09 = "countries/Winterskorn.txt"
B10 = "countries/Skadir.txt"
B11 = "countries/Kvaldir.txt"
E15 = "countries/Ymirjar.txt"
E16 = "countries/Hyldnir.txt"
E17 = "countries/Jotunheim.txt"

# Gnoll
B12 = "countries/Blackpaw.txt"
B13 = "countries/Mosshide.txt"
B14 = "countries/Mudsnout.txt"
B15 = "countries/Riverpaw.txt"
B16 = "countries/Shadowhide.txt"
B17 = "countries/Redridge Gnolls.txt"
B18 = "countries/Palemane.txt"
B19 = "countries/Rothide.txt"
F10 = "countries/Woodpaw.txt"
F41 = "countries/Savage Hill.txt"

# Centaur
B20 = "countries/Galak.txt" # tech_centaur
B21 = "countries/Gelkis.txt" # tech_centaur
B22 = "countries/Magram.txt" # tech_centaur 
B23 = "countries/Mauraudine.txt" # tech_centaur
B24 = "countries/Kolkar.txt" # tech_centaur
H04 = "countries/Western Galak.txt" # tech_centaur # AKA: Warcraft's 3 Mulgore Centaur Marauders

# Depths
B25 = "countries/Vile Fin.txt"
B26 = "countries/Blue Gill.txt"
B27 = "countries/Grimscale.txt"
B28 = "countries/Saltscale.txt"
B29 = "countries/Marshfin.txt"
B30 = "countries/Greymist.txt" # tech_depths
B31 = "countries/Siltfin.txt" # tech_depths
B32 = "countries/Mirefin.txt" # tech_depths
B33 = "countries/Winterfin.txt" # tech_depths
B34 = "countries/Chillmere.txt"
B35 = "countries/White Shark.txt"
B36 = "countries/Tidewalker.txt" # tech_depths
B37 = "countries/Makaru.txt" # tech_depths
B38 = "countries/Bogstrok.txt" # tech_depths
E51 = "countries/Torn Fin.txt"
E60 = "Countries/Rockpool.txt"
F11 = "Countries/Redgill.txt"
F22 = "countries/Greengill.txt"
F30 = "countries/Murkgill.txt"

# Furbolg
B39 = "countries/Gnarlpine.txt" # tech_furbolg
B40 = "countries/Deadwood.txt" # tech_furbolg
B41 = "countries/Blackwood.txt" # tech_furbolg
B42 = "countries/Timbermaw.txt" 
B43 = "countries/Stillpine.txt"
B44 = "countries/Winterfall.txt" # tech_furbolg
B45 = "countries/Frostpaw.txt"
B46 = "countries/Redfang.txt"

# Wolvar
B47 = "countries/Bloodpaw.txt"
B48 = "countries/Frenzyheart.txt"
B49 = "countries/Howling.txt"
B50 = "countries/Rageclaw.txt"
B51 = "countries/Snowfall.txt" # tech_wolfvar

# Gorloc
B52 = "countries/Mistwhisper.txt"
B53 = "countries/Rainspeaker.txt"
B54 = "countries/Mosswalker.txt"
B55 = "countries/Sparktouched.txt"

# Kobold
B56 = "countries/Drywhisker.txt" # tech_kobold
B57 = "countries/Gravelsnout.txt" # tech_kobold
B58 = "countries/Goldtooth.txt"
B59 = "countries/Whitewhisker.txt" # tech_kobold
B60 = "countries/Bloodspore.txt"
B61 = "countries/Magmoth.txt" # tech_kobold
B62 = "countries/Shalerhorn.txt" # tech_kobold
E53 = "countries/Tunnel Rat.txt" # tech_kobold

# Harpy
B63 = "countries/Bloodfury.txt" # tech_harpy
B64 = "countries/Coldwind.txt"
B65 = "countries/Frostfeather.txt"
B66 = "countries/Dustwind.txt"
B67 = "countries/Screeching.txt" # tech_harpy

# Quillboar
B68 = "countries/Bristleback.txt" # tech_quillboar
B69 = "countries/Razormane.txt" 
B70 = "countries/Razorfen.txt" # tech_quillboar
B71 = "countries/Swinegart.txt" # tech_quillboar

# Titan
B72 = "countries/Tolvir.txt" # tech_titan
B73 = "countries/Ulduar.txt" 
B74 = "countries/Uldaman.txt"
B75 = "countries/Maraudon.txt" # tech_titan
B76 = "countries/ThorModan.txt"

# Arrakoa
B77 = "countries/Skettis.txt" # tech_arrakoa
B78 = "countries/Sethikk.txt" # tech_arrakoa
B79 = "countries/Exiles.txt" # tech_arrakoa
B80 = "countries/Apexis.txt" # tech_arrakoa

# Tuskarr
B81 = "countries/Kaluak.txt"
B82 = "countries/Moaki.txt"

# Old God
B83 = "countries/Faceless.txt"
B84 = "countries/The Sha.txt"
B85 = "countries/Dark Conclave.txt"
B86 = "countries/Kingdom of a Thousand Maws.txt" # tech_old_god

# Demonic
B87 = "countries/Illidari.txt"
B88 = "countries/Shadow Council.txt"
B89 = "countries/Fel Horde.txt"
B90 = "countries/Burning Blade.txt"
B91 = "countries/Searing Blade.txt"
B92 = "countries/The Burning Legion.txt"
B93 = "countries/Cult of the Dark Strand.txt"
B94 = "countries/Wretched.txt"
B95 = "countries/Felsworn.txt"
F15 = "countries/Dreadlord.txt"
F13 = "countries/Shadowsworn.txt"
F37 = "countries/Disciples of Hate.txt"

# Satyr
B96 = "countries/Jadefire.txt"
B97 = "countries/Axxarian.txt"
B98 = "countries/Blackheart.txt"
B99 = "countries/Hatefury.txt"
E01 = "countries/Legashi.txt"
F43 = "countries/Nazzivus.txt"

# Naga
E02 = "countries/Coilskar.txt"
E03 = "countries/Wrathscale.txt"
E04 = "countries/Stormscale.txt"
E05 = "countries/Spitelash.txt"
E06 = "countries/Hatecrest.txt"
E07 = "countries/Strashaz.txt"
E08 = "countries/Riplash.txt"
E09 = "countries/Daggerspine.txt"
E10 = "countries/Blackfathom.txt"
F23 = "countries/Darkspine.txt"
F32 = "countries/Naga Explorers.txt"
F36 = "countries/Bloodwash.txt"

# Scourge
E11 = "countries/The Scourge.txt"
E12 = "countries/Cult of the Damned.txt"
E13 = "countries/Knights of the Ebon Blade.txt"
E52 = "countries/The Scourge of Lordaeron.txt"
F21 = "countries/Deatholme.txt"

# Undead
E14 = "countries/The Forsaken.txt"
F12 = "countries/Raven Hill.txt"
X01 = "countries/The Risen.txt"

# Ethereal
E18 = "countries/The Consortium.txt"
E19 = "countries/Bashir.txt"
E20 = "countries/Razaani.txt"
E21 = "countries/Shaffar.txt"
E22 = "countries/Viraani.txt"
E23 = "countries/Zaxxis.txt"

# Elemental
E24 = "countries/Abyssal Maw.txt"
E25 = "countries/Hydraxian Waterlords.txt"
E26 = "countries/Firelands.txt"
E27 = "countries/Deepholm.txt"
E28 = "countries/Skywall.txt"

# Worgen
E29 = "countries/Wolfcult.txt"
E30 = "countries/Silverbrook.txt"
E31 = "countries/Nightbane.txt"
E32 = "countries/White Pine.txt"
F53 = "countries/Bloodfang.txt"

# Mantid
E33 = "countries/Klaxxivess.txt"
E34 = "countries/Mantid Empire.txt"

# Pandaren
E35 = "countries/Huojin.txt"
E36 = "countries/Tushui.txt"
E37 = "countries/Shado Pan.txt"
E63 = "countries/Jade Serpent.txt"
E64 = "countries/Black Ox.txt"
E65 = "countries/Red Crane.txt"
E66 = "countries/White Tiger.txt"
E84 = "countries/Tillers.txt"
E91 = "countries/Anglers.txt"
F02 = "countries/Golden Lotus.txt"
F45 = "countries/Forest Heart.txt"
F46 = "countries/Cloud Serpent.txt"


# Mogu
E38 = "countries/Gurthan.txt"
E39 = "countries/Harthak.txt"
E40 = "countries/Kargesh.txt"
E41 = "countries/Mogu Shan.txt"
E42 = "countries/Shao Tien.txt"
E67 = "countries/Gormali.txt"
E81 = "countries/Dojani.txt"
E92 = "countries/Shan'ze.txt"

# Yaungol
E43 = "countries/Bataari.txt"
E44 = "countries/Ordo.txt"
E45 = "countries/Osul.txt"
E46 = "countries/Deadtalker.txt"
E47 = "countries/Burilgi.txt"
E48 = "countries/Palewind.txt"
E88 = "countries/Gai-Cho.txt"
E89 = "countries/Ruqin.txt"
E90 = "countries/Yongqi.txt"

# Trogg
E54 = "countries/Stonesplinter.txt"
E57 = "countries/Stonevault.txt"
F24 = "countries/Rockjaw.txt"

# Hozen
E68 = "countries/Grookin.txt"
E69 = "countries/Oona.txt"
E94 = "countries/Ookin.txt"

# Jinyu
E70 = "countries/Pearlfin.txt"
E82 = "countries/Fallsong.txt"
E95 = "countries/Inkgill.txt"

# Saurok
E71 = "countries/Slitherscale.txt"
E76 = "countries/Glintrok.txt"
E80 = "countries/Darkhatched.txt"
E83 = "countries/Riverblade.txt"
E85 = "countries/Muckscale.txt"
E86 = "countries/Mistblade.txt"
F03 = "countries/Skumblade.txt"

# Taunka
E73 = "countries/Icemist.txt"

# Virmen
E75 = "countries/Twitcheel.txt"

# Dyrad
E77 = "countries/The Unbound.txt"
E79 = "countries/Sisterhood of Winter.txt"

# Giant
E78 = "countries/Crystalvice.txt"
F33 = "countries/Coaststrider.txt"
F42 = "countries/Sons of Hodir.txt"
F44 = "countries/Arkkoroc.txt"

# Sprite
E87 = "countries/Rikkitun.txt"

# Grummle
E93 = "countries/Grummle.txt"

# Rockflayer
F51 = "countries/Razorthorn.txt"


# Formables
#Arak
#Orgrimmar
#Thunderbluff
#The Ethereum
#Orcish Horde
#Scarlet Onslaught
#Argent Crusade
#New Gilneas
#Stromgarde
#Azj'Aqir
#Azjol-Nerub
#Zandalari Empire
#Trade Coalition
#Thunder Kingdom

# Cultural Formables
#Amani Empire (FOREST TROLL)
#Gurubashi Empire (JUNGLE TROLL)
#Zul'Drak (FROST TROLL)
#Empire of the Shifting Sands (AQIR)
#Sunken Empire (NAGA)
#Pandaren Empire (PANDAREN))
